date, secondes
date.UTC(2017,2,28),03
date.UTC(2017,3,1),03
date.UTC(2017,3,2),03
date.UTC(2017,3,3),04
date.UTC(2017,3,4),04
date.UTC(2017,3,5),04
date.UTC(2017,3,6),03
date.UTC(2017,3,7),03
date.UTC(2017,3,8),04
date.UTC(2017,3,9),03
date.UTC(2017,3,10),03
date.UTC(2017,3,11),02
date.UTC(2017,3,12),02
date.UTC(2017,3,13),02
date.UTC(2017,3,14),02
date.UTC(2017,3,15),03
date.UTC(2017,3,16),03
date.UTC(2017,3,17),41
date.UTC(2017,3,18),03
date.UTC(2017,3,19),02
date.UTC(2017,3,20),03
date.UTC(2017,3,21),03
date.UTC(2017,3,22),03
date.UTC(2017,3,23),03
date.UTC(2017,3,24),05
date.UTC(2017,3,25),03
date.UTC(2017,3,26),03
date.UTC(2017,4,27),03
date.UTC(2017,3,28),14
date.UTC(2017,3,29),18
date.UTC(2017,3,30),37
date.UTC(2017,3,31),04
date.UTC(2017,4,1),08
date.UTC(2017,4,2),03
date.UTC(2017,4,3),03
date.UTC(2017,4,4),02
date.UTC(2017,4,5),05 
date.UTC(2017,4,6),02 
date.UTC(2017,4,7),03 
date.UTC(2017,4,8),04 
date.UTC(2017,4,9),05 
date.UTC(2017,4,10),04